ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,combined_noise_mean_db,race_ethnicity_minority_status,black_prop,insurance_coverage_prop,late_prenatal_care_prop,maternal_age_risk_prop,low_education_prop
90049,1717.0,145.5,8.474082702387886,56.93862962653392,0.183,0.0147407800329434,0.9999441637119963,0.03640069889341875,0.5037856726849156,0.0320326150262085
90056,323.0,49.5,15.325077399380804,55.44739961952709,0.8963,0.6425531914893617,0.9986626139817628,0.22136222910216719,0.42105263157894735,0.13622291021671826
90057,2451.5,244.5,9.973485621048338,55.02807061223092,0.9496,0.0673072843748674,0.9784905180094184,0.19457475015296757,0.2584132163981236,0.7236385886192127
90058,278.0,71.5,25.719424460431657,56.66100706124485,0.8992,0.1653000983929157,0.9993440472285996,0.2607913669064748,0.22122302158273383,0.6079136690647482
90059,3162.0,272.0,8.60215053763441,58.750416098656544,0.9847,0.2614577791289807,0.9951103341693902,0.1775774826059456,0.1609740670461733,0.6635041113219481
90061,1969.5,188.5,9.570957095709572,59.73765207922589,0.9836,0.2666689939258535,0.9891084270055156,0.1782178217821782,0.18227976643818228,0.6412795125666413
90062,1882.5,192.5,10.225763612217795,55.85792967161606,0.9671,0.2695060844667143,0.9994333094726796,0.1811420982735724,0.2095617529880478,0.5646746347941567
90063,2957.0,223.0,7.541427122083193,57.87727104523925,0.9705,0.005806798954007,0.9995577603445625,0.1301995265471762,0.21017923571187014,0.5853905985796415
90064,1201.0,108.0,8.992506244796003,59.36168683861358,0.43,0.0238480505470796,0.9951841578055172,0.06577851790174855,0.5141548709408826,0.0678601165695254
90065,2193.5,146.5,6.67882379758377,58.24258775212381,0.7286,0.01819720694033,0.9985076953916744,0.11306131752906314,0.41372236152268066,0.2676088443127422
90066,2647.0,191.0,7.215715904797884,56.69703906015184,0.5269,0.0487421964463817,0.9949022939677146,0.05836796373252739,0.4573101624480544,0.08859085757461277
90067,137.5,27.5,20.0,54.37845875030764,0.2929,0.0229928382962683,1.0,0.08,0.48,0.24
90068,906.0,71.5,7.891832229580574,57.91494013150083,0.2476,0.0673661222939612,0.9993353589061906,0.09161147902869757,0.57560706401766,0.08830022075055188
90069,674.0,66.0,9.792284866468842,56.08831465676516,0.1677,0.0259915190820653,1.0,0.09940652818991098,0.478486646884273,0.07344213649851632
90071,33.0,0.0,0.0,58.41930000913568,0.8601,0.2779552715654952,1.0,0.0,0.3333333333333333,0.16666666666666666
90077,368.5,49.5,13.432835820895525,55.60108743811696,0.1592,0.0228774783934926,1.0,0.1044776119402985,0.5454545454545454,0.08955223880597014
90089,38.5,5.5,14.285714285714285,55.135491359626975,0.6147,0.0982228626320845,1.0,0.0,0.42857142857142855,0.0
90094,912.0,89.0,9.758771929824562,57.3220708873264,0.4459,0.0747624253637204,0.9940290976368682,0.054276315789473686,0.49780701754385964,0.03618421052631579
90201,5436.5,365.5,6.723075508139428,56.71201273855676,0.966,0.0167973595139487,0.9959215422456744,0.14421042950427665,0.18458567092798675,0.6187804653729422
90210,785.5,77.0,9.8026734563972,54.77677865882876,0.1246,0.0166840458811261,0.9991136600625652,0.056015276893698285,0.5143220878421387,0.07256524506683641
90211,441.0,49.5,11.224489795918368,54.8719296032411,0.3479,0.0226976542137271,0.995438748913988,0.09977324263038549,0.4614512471655329,0.11224489795918367
90212,508.5,66.0,12.979351032448378,54.32481655312246,0.2697,0.0172778237294366,1.0,0.08652900688298919,0.3913470993117011,0.07571288102261553
90220,3259.5,261.5,8.022702868538119,57.47753442921492,0.9819,0.2872853913362253,0.9997759719761308,0.1412793373216751,0.1757938334100322,0.5654241448074858
90221,3717.5,262.5,7.061197041022192,57.63576204793847,0.9898,0.189220821581381,0.9988104146280627,0.1355749831876261,0.17202420981842637,0.6114324142568931
90222,2311.5,216.5,9.36621241617997,56.526536325922045,0.9875,0.2394839647497047,0.9965779352533236,0.17218256543370106,0.17066839714471121,0.6277309106640709
90230,1500.5,116.5,7.7640786404531825,58.83794553080125,0.6187,0.0884861740353069,0.9968442430870176,0.0923025658113962,0.43085638120626457,0.13062312562479172
90232,791.5,71.5,9.033480732785849,56.51595330644479,0.5388,0.0411570450097847,0.9992049902152642,0.07454200884396715,0.46430827542640557,0.10170562223626027
90401,294.0,44.0,14.965986394557824,58.46142517577719,0.2487,0.0831550802139037,0.993048128342246,0.1870748299319728,0.467687074829932,0.13095238095238096
90402,419.5,49.5,11.799761620977357,55.474967155339776,0.2181,0.0055856465809072,1.0,0.09177592371871275,0.6090584028605482,0.10488676996424315
90403,1171.5,92.0,7.8531796841656,54.65697830995482,0.2578,0.0250290552880624,0.9973435165200066,0.052496798975672214,0.5574050362782758,0.03286384976525822
90404,940.5,90.0,9.569377990430622,57.67807224170078,0.5728,0.0922210636079249,0.9691762252346194,0.07017543859649122,0.46411483253588515,0.12280701754385964
90405,1158.5,82.5,7.121277514026758,56.23941899410917,0.3462,0.0501093361995478,0.9956636151365776,0.0586965904186448,0.5416486836426413,0.08631851532153648
90501,2350.5,192.5,8.189746862369708,56.88583553596726,0.8062,0.0559055858566861,0.9976020312206132,0.10636034886194427,0.3120612635609445,0.3084450116996384
90502,827.0,77.0,9.310761789600967,56.12885220731492,0.8663,0.0742810634834509,0.9578404774823656,0.10519951632406288,0.282950423216445,0.2702539298669891
90503,1948.5,175.5,9.006928406466514,57.0173979303018,0.6771,0.0413053297199638,0.9843947606142728,0.08493713112650757,0.3856812933025404,0.08852963818321787
90504,1429.5,142.5,9.968520461699896,57.66499827269547,0.7552,0.0348854846048839,0.9988472622478386,0.08254634487583071,0.3704092339979014,0.14060860440713535
90505,1535.5,122.5,7.977857375447737,56.72214740902864,0.6249,0.0260948804329817,0.9939802286408572,0.08987300553565614,0.44089873005535657,0.08108108108108109
90601,1681.5,162.5,9.663990484686291,57.85743738190899,0.813,0.0085759937391984,0.99938044151694,0.12578055307760927,0.29348795718108833,0.2839726434730895
90602,1483.5,127.5,8.59453993933266,54.50472598706624,0.8397,0.0221973871825503,0.9920228139812708,0.15133131108864173,0.23255813953488372,0.3970340411189754
90603,1002.5,83.5,8.329177057356608,55.844006006752345,0.6918,0.0049801273763348,0.9906622611693722,0.13067331670822943,0.3351620947630923,0.18503740648379052
90604,2205.0,176.0,7.981859410430839,55.45834989536473,0.8017,0.0120618168111571,0.9986933031787912,0.13333333333333333,0.26258503401360545,0.34058956916099775
90605,2112.0,154.0,7.291666666666667,55.24090493991644,0.8663,0.0114659521568059,0.999493084220436,0.15767045454545456,0.2511837121212121,0.38920454545454547
90606,1749.5,149.5,8.545298656759075,58.46996238842657,0.9184,0.013021408077687,0.9937888198757764,0.14061160331523292,0.24521291797656472,0.37324949985710204
90623,610.5,91.0,14.905814905814909,56.54786221198496,0.7779,0.0484467215772747,0.9996757247551722,0.11793611793611794,0.32923832923832924,0.11957411957411958
90630,1969.5,150.5,7.641533384107642,55.14544144112561,0.6759,0.0333067570261112,0.9981861670320908,0.09824828636709824,0.31683168316831684,0.16653973089616653
90631,3675.0,242.0,6.585034013605442,56.144560580565326,0.7394,0.0202131356423027,0.9958299548245106,0.10993197278911565,0.24775510204081633,0.3834013605442177
