FIPS,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_race_population,white_population,black_population,asian_population,hispanic_population,median_household_income,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,poverty_rate,homeownership_rate
91746,0.7977,0.7883,0.6727,0.9756,0.6738,29429,8065,604,3307,24709,83634.0,7139,5352,29429,10.8,3457,0.7496848298080964
91748,0.7216,0.6462,0.6176,0.9428,0.6228,43851,5482,432,26211,13459,83610.0,13654,8786,43786,26.5,4345,0.6434744397246228
91750,0.5684,0.2901,0.7265,0.5671,0.719,33436,19610,1450,3632,12097,103774.0,12316,8438,33200,25.9,2689,0.6851250405975966
91752,0.6602,0.6333,0.4415,0.7768,0.6251,37173,14774,1778,3521,22892,108779.0,9679,5931,37102,14.2,2764,0.6127699142473396
91754,0.7053,0.569,0.6981,0.9484,0.613,33937,4941,472,20425,10553,83490.0,11919,6496,33840,25.6,3988,0.5450121654501217
91755,0.8304,0.7444,0.7358,0.9564,0.8059,26418,2939,141,18715,5816,70459.0,8466,3804,26193,21.2,3211,0.44932671863926293
91759,0.0064,0.0105,0.0568,0.2289,0.0,299,239,10,0,54,111071.0,150,126,299,25.1,5,0.84
91761,0.6936,0.6556,0.5359,0.855,0.595,61837,22074,2962,5038,43107,89041.0,17767,11707,61757,14.8,5902,0.6589182191703721
91762,0.8152,0.7965,0.7462,0.8527,0.7063,62990,23453,2701,5247,44428,74245.0,18412,10139,62855,14.3,8231,0.5506734738214208
91763,0.9246,0.8509,0.894,0.8992,0.8778,37698,12787,2037,4023,26852,72997.0,10096,5517,37398,12.8,5527,0.5464540412044374
91764,0.8439,0.8556,0.6924,0.8907,0.7619,55311,17397,4179,3331,39378,71336.0,16525,7400,55050,12.3,8681,0.44780635400907715
91765,0.4064,0.3538,0.5041,0.855,0.2607,45303,9824,1790,26454,8457,105712.0,15081,11633,45233,33.7,4375,0.771367946422651
91766,0.8895,0.8398,0.7752,0.9337,0.8685,69517,18534,3489,9319,50607,72692.0,19218,10158,69202,13.2,9900,0.5285669684670621
91767,0.9199,0.7988,0.8413,0.8793,0.9652,50715,15722,3116,4439,35264,75870.0,14736,8129,50246,13.6,7435,0.55164223669924
91768,0.9561,0.9,0.7375,0.8725,0.9902,35443,10585,1361,2596,26300,71462.0,8407,4621,34626,8.8,4802,0.5496609967883906
91770,0.7719,0.7064,0.6124,0.9603,0.7381,59410,5294,374,37978,17870,70863.0,16458,8482,58899,18.6,6892,0.5153724632397618
91773,0.5848,0.4152,0.5585,0.6164,0.6784,34066,18242,1100,5433,12306,101466.0,11910,8410,33844,22.9,3147,0.7061293031066331
91775,0.5602,0.4491,0.5243,0.8091,0.507,24169,6288,350,12624,5882,107359.0,8245,5396,23928,32.0,2785,0.6544572468162523
91776,0.7807,0.7532,0.566,0.9348,0.7457,37340,4961,381,22809,10519,77147.0,11437,4850,36897,22.0,4998,0.4240622540876104
91780,0.6023,0.5082,0.781,0.8708,0.3633,35556,6820,177,23278,6552,94946.0,11617,7033,35393,27.6,3494,0.6054058707067229
91784,0.1023,0.1263,0.2445,0.5088,0.124,26116,16009,1276,3136,7496,145496.0,8853,7562,26075,27.6,1621,0.8541737264204224
91786,0.7421,0.5971,0.628,0.7212,0.8627,56025,24127,4485,5425,27941,81973.0,19495,8454,55583,18.6,6838,0.4336496537573737
91789,0.362,0.245,0.5342,0.9054,0.263,41377,6742,995,27014,7966,123555.0,12698,10412,41328,36.1,2986,0.8199716490785951
91790,0.7199,0.5538,0.7567,0.8907,0.6918,44855,12539,1194,9743,27841,97868.0,12735,8039,44403,16.3,3933,0.6312524538672949
91791,0.6977,0.5655,0.7097,0.8652,0.617,33902,9956,1183,9957,17130,96470.0,10793,7213,33891,23.4,2816,0.6683035300657834
91792,0.6877,0.5251,0.6367,0.9467,0.6692,31208,5445,2439,13160,13199,94439.0,9256,5318,31167,24.9,3712,0.5745462402765773
91801,0.7316,0.6099,0.6031,0.9082,0.7439,53320,8975,1448,27998,17464,81580.0,19985,7391,52794,26.0,5715,0.36982737052789594
91803,0.7117,0.6316,0.6941,0.928,0.5608,29006,5155,577,14206,11412,76694.0,10100,4933,28939,24.6,4509,0.4884158415841584
91901,0.3485,0.2982,0.2862,0.2198,0.5516,18669,14889,296,438,3421,110013.0,6425,4666,18628,19.4,1622,0.7262256809338521
91902,0.3246,0.2807,0.3262,0.6499,0.3476,17121,9435,335,2461,7755,123516.0,6033,4849,16952,24.4,888,0.8037460633184154
91905,0.6076,0.6731,0.3273,0.366,0.6437,1411,916,7,6,280,86000.0,530,438,1313,6.2,222,0.8264150943396227
91906,0.7819,0.8322,0.8714,0.43,0.5968,4281,2790,180,18,1513,49344.0,1280,934,4035,6.8,1103,0.7296875
91910,0.8778,0.783,0.792,0.8034,0.9311,76313,35103,2797,7555,48385,84111.0,25709,13178,74629,18.4,8299,0.5125831420903185
91911,0.9281,0.8386,0.7978,0.8839,0.9647,87799,37136,3580,8398,63941,77705.0,25537,13072,86971,13.6,9752,0.5118847162940048
91913,0.4392,0.3123,0.4583,0.8674,0.3957,56102,19466,4394,14689,27469,124531.0,16135,11554,54819,26.7,3057,0.7160830492717695
91914,0.2637,0.2702,0.2856,0.8363,0.1819,17373,7195,487,3255,9343,162889.0,4750,3754,17148,28.6,586,0.7903157894736842
91915,0.2164,0.2105,0.2868,0.8102,0.1715,35608,12454,3030,8140,15881,136297.0,10019,7147,33626,32.2,2272,0.7133446451741691
91916,0.4912,0.2339,0.7966,0.1581,0.6854,1833,1497,0,4,255,115324.0,587,444,1810,11.5,24,0.7563884156729132
91917,0.6433,0.4684,0.7636,0.6408,0.6425,851,484,19,126,338,96797.0,229,182,851,24.1,316,0.7947598253275109
91931,0.4193,0.5596,0.686,0.0323,0.2277,749,735,0,0,0,56518.0,318,274,749,22.8,167,0.8616352201257862
91932,0.8602,0.838,0.646,0.6844,0.9368,26157,14278,1214,1848,13817,75731.0,9115,2823,25467,15.9,3997,0.3097092704333516
91934,0.1708,0.5959,0.0886,0.5048,0.0539,1251,1064,0,0,534,,425,252,1251,8.1,564,0.5929411764705882
91935,0.2444,0.2047,0.5469,0.3564,0.2115,9320,7453,65,144,2875,130290.0,3025,2810,9289,19.4,435,0.9289256198347108
91941,0.4222,0.3439,0.5104,0.4561,0.4212,33602,22631,2072,2358,9437,107055.0,12440,8004,33151,25.6,2901,0.6434083601286174
91942,0.6678,0.5649,0.5214,0.455,0.8279,40995,26275,2951,3060,10841,80996.0,17368,7467,39592,24.6,4766,0.42992860432980196
91945,0.7269,0.7281,0.6698,0.7309,0.5655,27541,11708,4255,2478,11915,77989.0,9182,4948,26708,12.4,2710,0.5388804182095404
91948,0.2971,0.6567,0.0904,0.0,0.292,104,104,0,0,0,,44,44,104,67.4,14,1.0
91950,0.993,0.9386,0.9328,0.9065,0.9936,57844,25574,2441,9530,38346,59414.0,17728,5952,56200,11.9,8154,0.33574007220216606
91962,0.1754,0.3099,0.23,0.2618,0.1802,2528,1903,18,33,435,126833.0,1012,943,2483,31.7,201,0.9318181818181818
91963,0.8965,0.7865,0.9948,0.8255,0.6553,624,424,0,0,484,,140,82,624,28.5,178,0.5857142857142857
91977,0.7971,0.7082,0.7514,0.7235,0.8424,65497,30187,8535,4544,30612,86189.0,19647,12277,64272,17.0,6982,0.6248791164045401
91978,0.6901,0.6222,0.69,0.6459,0.6078,11006,5769,1781,609,3802,95541.0,3392,2104,10784,16.8,2017,0.6202830188679245
91980,0.0333,0.3216,0.0133,0.9938,0.0,103,0,0,0,103,,14,14,103,0.0,0,1.0
92003,0.4275,0.407,0.3187,0.3003,0.5261,4404,3344,0,76,1114,106813.0,1744,1166,4340,24.0,571,0.6685779816513762
92004,0.3626,0.4211,0.2155,0.3224,0.445,3200,2587,1,2,1043,75128.0,1576,1167,3199,18.7,136,0.7404822335025381
92007,0.183,0.3485,0.4762,0.2589,0.084,11939,9130,43,428,2469,151406.0,4387,2775,11756,34.7,1680,0.6325507180305447
92008,0.4667,0.4953,0.3436,0.3263,0.5017,27373,20657,313,1831,5747,101897.0,11753,5727,26888,31.0,2319,0.487279843444227
92009,0.1854,0.2029,0.3563,0.2516,0.2248,46334,35018,476,3842,6630,163402.0,16152,11417,46044,37.0,2898,0.7068474492322933
92010,0.4123,0.2433,0.511,0.366,0.5637,16566,11536,195,2753,2436,117340.0,6629,4337,16150,34.8,1088,0.6542464926836626
92011,0.3006,0.3018,0.5023,0.3513,0.2665,24472,17939,373,2672,4240,141739.0,9378,5823,24325,38.6,1553,0.6209213051823417
