ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,insurance_coverage_prop,log_median_household_income,combined_noise_mean_db
90017,1372.0,142.0,10.349854227405247,92.40433389752609,1.3386196906464125,55.07124843721238,1.6711011583960824,0.7409685844273624,0.9567,0.9608,0.6738,0.8952,0.9676,21.2,0.0541138307283987,35.598525422549905,0.2614592752312721,0.128642971412673,0.176045071989984,0.5718856506920776,0.998365444807679,10.749913604437298,57.68899227789689
90018,2500.5,204.5,8.178364327134572,88.82568206311537,0.981032302403643,46.366413544105626,1.2581099784142236,0.736569989279187,0.9684,0.948,0.8476,0.9275,0.9554,15.5,0.3286002815349776,21.74435849132229,0.2714938474487955,0.2429957112509519,0.0623271473806565,0.5868772295482785,0.9875345705238688,10.985072359626606,58.08815400377986
90019,2962.5,234.5,7.915611814345993,81.86568455793609,0.9129698476328028,48.01691025186476,1.2940118778354566,0.5706128810670149,0.8924,0.9246,0.4884,0.83,0.938,24.3,0.2500424160162877,16.59484935196095,0.304965494024575,0.1788251136172361,0.173405150648039,0.4350614374684396,0.9886719407507154,11.096985688568044,55.68694915499731
90020,1578.0,156.0,9.88593155893536,74.1557675644689,1.0276018738207084,50.5833802224092,1.3785468080662635,0.6539345122670404,0.8345,0.8977,0.2451,0.8907,0.9345,33.2,0.0941054211650597,17.984375,0.1919791666666666,0.07078125,0.4531770833333333,0.3365885416666667,0.9998958333333332,10.920907862260288,53.976200897038694
90021,162.5,49.5,30.461538461538463,93.14531493466622,1.464836757400729,53.74265304998215,1.7557393121650515,0.6097075922502416,0.9491,0.9936,0.3841,0.8068,0.9797,14.1,0.0685400959561343,40.30924128011507,0.2822725638259619,0.2139518158935634,0.070118662351672,0.4804027328299173,1.0,10.297520899681873,58.79409869466077
90022,3638.5,271.5,7.46186615363474,90.350617979353,1.136568128170486,49.20399775610315,1.2883233715969975,0.7415665324539422,0.8947,0.9012,0.8824,0.9824,0.6541,7.5,0.3465773376055928,16.561959249848005,0.3009493818884749,0.0052847366205746,0.0112709869518449,0.9645501738195084,0.9995011458057276,11.084324781459909,58.48981058651322
90023,2677.0,212.0,7.919312663429212,97.15702719349844,1.3847426584637563,52.21526273159072,1.4924829993343005,0.7930169048110733,0.9766,0.9784,0.949,0.9813,0.7978,7.7,0.2634042553191489,22.80623008214013,0.2476771847928542,0.0103685084608824,0.0098298846447327,0.9573365052291396,0.996521387854033,10.876498824619787,58.80226427271576
90024,1215.0,108.0,8.88888888888889,76.68332144480854,0.8289079029483188,45.98485477558104,1.3430704397278053,0.3926278939661894,0.5994,0.6456,0.0435,0.5178,0.9757,36.7,0.3326010805675948,18.98118749007779,0.5474876964597555,0.0457413875218288,0.2595451658993491,0.1309533259247499,0.9998412446420066,11.22326810959768,54.89346766435282
90025,2221.0,174.0,7.834308869878432,90.43962711114705,0.9224796341721376,46.282992945693856,1.3981801428563956,0.3474076415095609,0.3585,0.452,0.0608,0.4476,0.6083,41.4,0.2474961652982044,11.751333588421977,0.6154763780413693,0.0347070607035945,0.2264736996106147,0.1266290035787436,0.9941254585968624,11.547433166233455,58.08370204079793
90026,2775.0,226.0,8.144144144144144,89.861115118177,1.1520903753639884,48.95546397780682,1.3103527626362526,0.5337888894310693,0.8257,0.8585,0.3302,0.7071,0.9606,29.8,0.2373236751810903,17.756951628093688,0.3969028393212802,0.0378112986150782,0.1298615078200991,0.4851858142012382,0.9953527150334264,11.296620973878772,57.370984130290566
90027,1729.5,139.5,8.065915004336514,80.8028404294422,0.8743152187469406,46.481063733712425,1.1674666348836114,0.3415947208826509,0.6474,0.6766,0.208,0.4125,0.8743,38.4,0.2091791289672308,13.49750895900708,0.6401975351804912,0.0349619788480028,0.1180622323223494,0.2198889957171576,0.9918276374442794,11.371661394966049,59.10400527434221
90028,890.0,90.5,10.168539325842698,93.24824379089624,1.0682204623041156,48.77388459661526,1.3751705835489303,0.4884886266645608,0.8146,0.9006,0.3175,0.5904,0.9241,36.2,0.0400510796377989,19.430637144148218,0.4958040152346524,0.0895035827254534,0.1330449938674068,0.287199018785101,0.9960299528758634,10.955322649645309,57.172179882437916
90029,1375.0,151.5,11.01818181818182,89.43308875949096,1.0753323068677445,47.83991747088139,1.2746657566230493,0.594797737348191,0.9374,0.945,0.5295,0.7343,0.993,25.9,0.1156902461826114,21.89962192271061,0.3430113423186816,0.0315737827931542,0.1620537389246442,0.5106063667061098,0.9849923518716268,10.9425090597906,57.33771516404603
90031,1712.5,151.5,8.846715328467154,90.05962398117569,1.12772702745982,48.08275713317282,1.2793154711161605,0.7366721814432738,0.9456,0.9538,0.7457,0.9229,0.9044,15.6,0.3278428093645485,17.889847024588196,0.1909923378807699,0.0218650719491683,0.2908935579464453,0.5903569426275462,0.9894812718583976,11.000248127840765,58.41837713544522
90032,2139.5,177.5,8.296330918438887,81.38872036987189,0.8800459755416695,45.0765942549835,1.1003595834523023,0.6887389095886771,0.9099,0.855,0.8575,0.9161,0.8679,15.9,0.5402547106576302,14.337915821839978,0.2614692186002986,0.0279851161961631,0.1263340834651634,0.7473095519262049,0.9965018604754796,11.246456788917644,56.397535224182974
90033,2459.5,210.5,8.558650132140679,89.34922326096658,1.4154895226032749,50.86738984838887,1.5338611549869396,0.813949706389188,0.9977,0.9918,0.9606,0.9739,0.9699,10.4,0.1972865602278689,26.54286014059385,0.194691008288742,0.0190326303640751,0.0451369216241737,0.904396180883433,0.9903053194837896,10.83202301082672,59.22701375102942
90034,2669.0,225.0,8.430123641813413,92.7937427876862,1.0829735381111667,47.42494587168396,1.47735695530112,0.4076413101144067,0.4959,0.486,0.0713,0.6164,0.8169,37.5,0.2033569534064368,8.868346016236538,0.4582009044514266,0.0937324058771181,0.197471894807577,0.2587312253682279,0.9961315631753872,11.487720471135004,58.158401342809725
90035,2093.5,159.5,7.618820157630762,80.58491901789819,0.8337963342175974,45.693485674766606,1.3146572449219385,0.2687968559466389,0.4614,0.4404,0.1275,0.3314,0.7822,37.1,0.3202276707530648,8.084226358338034,0.6937394247038917,0.071404399323181,0.0664410603496897,0.1331453280691859,0.991990975747321,11.612951779037353,54.30919361035399
90036,2288.5,142.5,6.226786104435219,79.03633210100986,0.8653223465112947,47.42967886042497,1.364364603455972,0.3023454746755842,0.4357,0.5292,0.0498,0.4448,0.7462,44.1,0.1475725206297777,10.82120223795508,0.6021265876488213,0.0633203404661522,0.1914989526158088,0.1364516214567921,0.9961816880120912,11.48845857690216,55.57836563066586
