ZIP_Code_of_Residence,Year_of_Birth,Annual_Births_By_Zip,LBW_Count,LBW_rate
90035,2021,392.5,34.5,8.789808917197451
90035,2022,425.5,39.5,9.283196239717979
90036,2018,483.5,22.5,4.653567735263702
90036,2019,497.5,20.5,4.1206030150753765
90036,2020,444.5,35.5,7.986501687289089
90036,2021,429.5,40.5,9.429569266589057
90036,2022,433.5,23.5,5.4209919261822375
90037,2018,915.0,73.0,7.978142076502732
90037,2019,821.0,70.0,8.526187576126674
90037,2020,776.5,47.5,6.117192530585962
90037,2021,746.0,63.0,8.445040214477212
90037,2022,758.5,56.5,7.448912326961107
90038,2018,239.5,31.5,13.152400835073069
90038,2019,195.0,30.5,15.64102564102564
90038,2020,193.0,22.0,11.398963730569948
90038,2021,196.5,5.5,2.7989821882951653
90038,2022,189.5,16.5,8.70712401055409
90039,2018,279.5,27.5,9.838998211091235
90039,2019,270.0,11.0,4.074074074074074
90039,2020,258.0,11.0,4.263565891472868
90039,2021,264.5,27.5,10.396975425330812
90039,2022,247.0,24.0,9.7165991902834
90040,2018,142.0,22.0,15.492957746478872
90040,2019,159.0,22.0,13.836477987421384
90040,2020,115.5,11.0,9.523809523809524
90040,2021,128.0,16.5,12.890625
90040,2022,122.5,22.0,17.959183673469386
90041,2018,233.5,22.0,9.421841541755889
90041,2019,246.0,11.0,4.471544715447155
90041,2020,236.0,23.0,9.745762711864407
90041,2021,207.5,22.0,10.602409638554217
90041,2022,211.5,16.5,7.801418439716312
90042,2018,604.5,47.5,7.857733664185278
90042,2019,604.5,59.5,9.842845326716294
90042,2020,528.5,39.5,7.473982970671712
90042,2021,521.0,31.0,5.950095969289827
90042,2022,538.5,45.5,8.449396471680593
90043,2018,524.0,58.0,11.068702290076336
90043,2019,461.5,45.5,9.859154929577464
90043,2020,450.0,52.0,11.555555555555555
90043,2021,448.5,45.5,10.144927536231885
90043,2022,455.5,44.5,9.769484083424809
90044,2018,1347.5,135.5,10.055658627087197
90044,2019,1315.5,109.5,8.323831242873432
90044,2020,1326.0,141.0,10.633484162895927
90044,2021,1142.0,118.0,10.332749562171628
90044,2022,1116.0,97.0,8.691756272401435
90045,2018,427.5,36.5,8.538011695906434
90045,2019,358.5,32.5,9.06555090655509
90045,2020,376.0,23.0,6.117021276595745
90045,2021,359.5,30.5,8.484005563282336
90045,2022,386.5,31.5,8.15006468305304
90046,2018,296.5,16.5,5.564924114671164
90046,2019,325.0,31.0,9.538461538461538
90046,2020,282.0,12.0,4.25531914893617
90046,2021,322.5,21.5,6.666666666666667
90046,2022,289.5,16.5,5.699481865284974
90047,2018,602.5,52.5,8.71369294605809
90047,2019,599.0,48.0,8.013355592654424
90047,2020,534.5,41.5,7.764265668849392
90047,2021,559.0,61.0,10.912343470483005
90047,2022,483.0,51.0,10.559006211180124
90048,2018,259.0,22.0,8.494208494208493
90048,2019,272.0,22.0,8.088235294117647
90048,2020,234.0,30.5,13.034188034188036
90048,2021,250.0,22.0,8.799999999999999
90048,2022,230.0,33.5,14.565217391304348
90049,2018,377.5,24.5,6.490066225165562
90049,2019,369.5,40.5,10.960757780784844
90049,2020,333.5,30.5,9.145427286356822
90049,2021,312.5,25.0,8.0
90049,2022,324.0,25.0,7.716049382716049
90056,2018,72.0,16.5,22.916666666666664
90056,2019,46.0,5.5,11.956521739130435
90056,2020,69.0,5.5,7.971014492753622
90056,2021,68.5,11.0,16.05839416058394
90056,2022,67.5,11.0,16.296296296296298
90057,2018,557.0,59.0,10.59245960502693
90057,2019,534.5,47.5,8.886810102899906
90057,2020,463.0,61.0,13.174946004319654
90057,2021,451.5,40.5,8.970099667774086
90057,2022,445.5,36.5,8.19304152637486
90058,2018,55.0,11.0,20.0
90058,2019,56.5,16.5,29.20353982300885
90058,2020,62.0,11.0,17.741935483870968
90058,2021,53.5,16.5,30.8411214953271
90058,2022,51.0,16.5,32.35294117647059
90059,2018,715.0,57.0,7.972027972027972
90059,2019,617.0,45.0,7.293354943273905
90059,2020,631.5,54.5,8.630245447347585
90059,2021,637.0,62.0,9.733124018838305
90059,2022,561.5,53.5,9.528049866429207
90061,2018,439.0,44.0,10.022779043280181
90061,2019,421.5,39.5,9.37129300118624
90061,2020,406.5,32.5,7.995079950799508
90061,2021,350.0,33.0,9.428571428571429
90061,2022,352.5,39.5,11.205673758865247
90062,2018,407.5,42.5,10.429447852760736
90062,2019,395.5,29.5,7.458912768647282
90062,2020,416.5,40.5,9.723889555822328
90062,2021,342.5,35.5,10.364963503649635
90062,2022,320.5,44.5,13.884555382215288
90063,2018,657.0,55.0,8.37138508371385
90063,2019,653.5,44.5,6.809487375669472
90063,2020,538.5,45.5,8.449396471680593
90063,2021,569.5,39.5,6.935908691834943
90063,2022,538.5,38.5,7.149489322191272
90064,2018,249.5,16.5,6.613226452905812
90064,2019,251.0,26.0,10.358565737051793
90064,2020,240.0,22.0,9.166666666666666
90064,2021,246.0,27.0,10.975609756097562
90064,2022,214.5,16.5,7.6923076923076925
