ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate,avg_traffic_pct,avg_diesel_pm,avg_cancer_risk,avg_resp_hazard,avg_ej_index,svi_score,socioeconomic_status,household_characterisitcs,race_ethnicity_minority_status,housing_type_transportation,total_housing_population,total_ownership_population,health_insurance_coverage_pop,educational_attainment,homeownership_rate,poverty_rate,white_prop,black_prop,asian_prop,hispanic_prop,log_median_household_income
90501,2350.5,192.5,8.189746862369708,84.22272348891472,0.8399357489424825,35.762925600633835,0.9038716285343288,0.5079141796515313,0.7526,0.6971,0.482,0.8062,0.8146,14607,6816,42434,26.0,0.4666255904703224,11.402106451006206,0.2974656761331578,0.0559055858566861,0.2735094978371262,0.4291893925145759,11.406742388880087
90502,827.0,77.0,9.310761789600967,94.6559102114973,1.0575588722862876,36.660857117934086,1.0010094863236498,0.5560497066206086,0.6854,0.5047,0.3621,0.8663,0.9021,6457,4475,17653,26.0,0.6930463063342109,9.669017905588714,0.22409115572436245,0.0742810634834509,0.4014107433532284,0.3479652740097667,11.46717467721322
90503,1948.5,175.5,9.006928406466514,84.11132937604269,0.7110504858023098,34.876999909825635,0.8728910988119488,0.3811511463342153,0.4942,0.2246,0.3615,0.6771,0.7984,17183,8779,43589,35.2,0.5109119478554385,5.702348690153569,0.3814363143631436,0.04130532971996387,0.4128274616079494,0.1557588075880759,11.673035495398963
90504,1429.5,142.5,9.968520461699896,89.43493287601629,0.9191608790744328,37.8841476515157,1.0396556570631568,0.4724902017780889,0.5766,0.3971,0.4902,0.7552,0.664,11654,7190,32927,34.0,0.6169555517418912,8.827544365235857,0.3010162293341423,0.03488548460488397,0.41186106476566053,0.24541180039435764,11.530500121986739
90505,1535.5,122.5,7.977857375447737,78.91943931330776,0.6698863078446488,31.820518760981496,0.7848235690044189,0.3103430670451775,0.4439,0.1351,0.6535,0.6249,0.6362,14113,7929,35996,37.6,0.5618224332176008,6.058430441265808,0.43284365162644284,0.02609488043298172,0.3783067322030154,0.143590876456619,11.59779037327665
90601,1681.5,162.5,9.663990484686291,80.92130629544805,0.8468966748934552,44.09545106134016,1.1009947058636056,0.5315432938737632,0.545,0.5526,0.2827,0.813,0.5087,10812,6386,30648,19.6,0.5906400295967443,9.097727198617406,0.38239801741285423,0.008575993739198488,0.061140639775654614,0.6981119770437277,11.474278187371349
90602,1483.5,127.5,8.59453993933266,78.73309275650539,0.8484632195788748,44.20773755720224,1.094171734219457,0.5748021404479933,0.8567,0.7743,0.6292,0.8397,0.956,7905,3098,25742,13.5,0.3919038583175205,12.166172106824925,0.3199737947512428,0.022197387182550387,0.0283247909360669,0.750549154109985,11.06595062590531
90603,1002.5,83.5,8.329177057356608,79.78905953958034,0.7694693724326669,42.71032078567061,0.9789260374701412,0.3861665080643915,0.3275,0.1965,0.3036,0.6918,0.449,6428,5065,20688,20.4,0.7879589296826385,3.964947565005028,0.5118517454388737,0.0049801273763348175,0.061533304601829236,0.588756404731121,11.672694617293672
90604,2205.0,176.0,7.981859410430839,74.63580351512185,0.7972209942617001,42.751845495734905,0.9992480324536122,0.5306390400368527,0.5263,0.3778,0.376,0.8017,0.6118,11667,7525,39743,14.4,0.644981571955087,5.782133433848474,0.40196004523181306,0.01206181681115718,0.0739791431084307,0.6908405578590275,11.467614242260225
90605,2112.0,154.0,7.291666666666667,74.72588514131026,0.8071425474286578,42.7693305425376,1.0135362043736853,0.5485486603261747,0.6064,0.5661,0.4264,0.8663,0.5197,10917,7365,41406,14.7,0.6746358889804891,8.525840635334443,0.32413643276124265,0.011465952156805948,0.06307480628575567,0.7639944963429647,11.453175460564454
