Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2020,Place of Residence,91331,500 - 999 grams,<11,11/10/2025
Birth,2020,Place of Residence,91331,1000 - 1499 grams,<11,11/10/2025
Birth,2020,Place of Residence,91331,1500 - 1999 grams,27,11/10/2025
Birth,2020,Place of Residence,91331,2000 - 2499 grams,59,11/10/2025
Birth,2020,Place of Residence,91331,2500 - 2999 grams,221,11/10/2025
Birth,2020,Place of Residence,91331,3000 - 3499 grams,479,11/10/2025
Birth,2020,Place of Residence,91331,3500 - 3999 grams,269,11/10/2025
Birth,2020,Place of Residence,91331,4000 - 5999 grams,81,11/10/2025
Birth,2020,Place of Residence,91331,Unreliable/Unknown,<11,11/10/2025
Birth,2019,Place of Residence,91311,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,91311,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91311,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91311,2000 - 2499 grams,14,11/10/2025
Birth,2019,Place of Residence,91311,2500 - 2999 grams,77,11/10/2025
Birth,2019,Place of Residence,91311,3000 - 3499 grams,139,11/10/2025
Birth,2019,Place of Residence,91311,3500 - 3999 grams,74,11/10/2025
Birth,2019,Place of Residence,91311,4000 - 5999 grams,25,11/10/2025
Birth,2019,Place of Residence,91311,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,91316,500 - 999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91316,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91316,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91316,2000 - 2499 grams,18,11/10/2025
Birth,2019,Place of Residence,91316,2500 - 2999 grams,75,11/10/2025
Birth,2019,Place of Residence,91316,3000 - 3499 grams,131,11/10/2025
Birth,2019,Place of Residence,91316,3500 - 3999 grams,85,11/10/2025
Birth,2019,Place of Residence,91316,4000 - 5999 grams,14,11/10/2025
Birth,2019,Place of Residence,91316,Unreliable/Unknown,0,11/10/2025
Birth,2019,Place of Residence,91324,500 - 999 grams,0,11/10/2025
Birth,2019,Place of Residence,91324,1000 - 1499 grams,<11,11/10/2025
Birth,2019,Place of Residence,91324,1500 - 1999 grams,<11,11/10/2025
Birth,2019,Place of Residence,91324,2000 - 2499 grams,17,11/10/2025
