ZIP_Code_of_Residence,Total_Births_2018_2022,Total_LBW_Count_2018_2022,LBW_Rate
91387,2489.5,201.5,8.093994778067886
91390,762.0,71.5,9.383202099737533
91401,2031.5,144.5,7.112970711297072
91402,3907.0,345.0,8.830304581520348
91403,1463.0,135.5,9.26179084073821
91405,3179.5,253.5,7.972951721968863
91406,2936.0,229.0,7.799727520435967
91411,1385.5,137.5,9.924215084806928
91423,1573.5,133.5,8.484270734032412
91436,711.0,77.0,10.829817158931084
91501,936.5,100.5,10.731446876668446
91502,532.5,77.0,14.460093896713616
91503,11.0,0.0,0.0
91504,1215.5,97.5,8.02139037433155
91505,1304.0,117.0,8.97239263803681
91506,736.5,88.0,11.948404616429057
91521,0.0,0.0,
91522,5.5,0.0,0.0
91523,0.0,0.0,
91601,1777.5,143.5,8.073136427566807
91602,911.5,84.0,9.215578716401536
91604,1514.0,125.0,8.256274768824307
91605,2853.0,250.0,8.762705923589206
91606,2125.5,151.5,7.127734650670431
91607,1579.5,118.5,7.502374169040836
91608,5.5,0.0,0.0
91702,3416.0,250.0,7.318501170960187
91706,4103.0,338.0,8.237874725810384
91709,3700.0,265.0,7.162162162162162
91711,1142.0,101.0,8.84413309982487
91722,1870.0,167.0,8.930481283422461
91723,1047.5,113.0,10.787589498806682
91724,1298.5,123.5,9.510974201001156
91731,1518.0,137.0,9.025032938076416
91732,3291.0,238.0,7.231844424187177
91733,2367.5,199.5,8.426610348468849
91740,1256.0,0.0,0.0
91741,1085.0,0.0,0.0
91744,4716.0,0.0,0.0
91745,2577.0,0.0,0.0
91746,1643.0,0.0,0.0
91748,3772.0,0.0,0.0
91750,1242.0,0.0,0.0
91754,2275.0,0.0,0.0
91755,1281.0,0.0,0.0
91759,27.5,0.0,0.0
91765,2151.0,0.0,0.0
91766,4205.0,0.0,0.0
91767,3048.0,0.0,0.0
91768,1933.0,0.0,0.0
91770,2616.0,0.0,0.0
91773,1475.5,116.5,7.895628600474415
91775,1115.0,104.5,9.372197309417041
91776,1830.0,147.0,8.032786885245901
91780,1824.5,150.0,8.22143052891203
91789,1875.5,134.5,7.171420954412157
91790,2214.0,149.0,6.729900632339657
91791,1671.5,150.5,9.003888722704158
91792,1451.0,140.0,9.648518263266713
91801,2416.5,193.5,8.007448789571695
91803,1270.5,125.0,9.838646202282566
92397,323.0,55.0,17.027863777089784
93532,148.0,27.5,18.58108108108108
93535,5709.5,547.5,9.589281022856643
93536,4025.5,349.5,8.68215128555459
93543,831.5,101.0,12.146722790138305
93544,115.5,22.0,19.047619047619047
93550,5526.0,462.0,8.360477741585234
93551,2815.5,241.5,8.577517314864144
93552,2391.5,238.5,9.972820405603178
93553,137.5,33.0,24.0
93563,11.0,0.0,0.0
93591,475.5,66.0,13.880126182965299
